database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
				3-Hydroxymethylglutarate	161.0444434				21.68											
				3PG_2PG	184.9845591				25.4											
				3-Sulfinoalanine	152.0011984				20											
				4-Acetamidobutanoate	144.0655132				15.24											
				5-Hydroxylysine	161.0920623				15.25											
				5PRA	228.02676				20.2											
				6PG	275.0162545				24.7											
				Aconitate	173.0080594				24.8											
				ADP	426.02103				25.8											
				Alanine	88.03929847				11.59											
				Allantoin	157.0356101				5.36											
				Alpha-ketoglutarate	145.0131497				21.4											
				Aminoadipate	160.06043				18.4											
				AMP	346.0547107				21.6											
				ATP	505.98737				29.3											
				cAMP	328.04414				16.4											
				cCMP	304.0329063				18											
				CDP	402.0098014				25.5											
				CDP-Ethanolamine	445.0520005				19.1											
				cGMP	344.0390543				20.08											
				Citrate_Isocitate	191.0186226				24.68											
				Citrulline	174.0873128				12.94											
				CMP	322.0434773				21.4											
				CTP	481.97613				28.3											
				Cystathionine	221.0590476				17.96											
				Cysteic acid	167.9961145				21.59											
				Cysteine	120.0113757				14.26											
				Cytidine	242.0771405				4.6											
				dADP	410.02612				25.8											
				dAMP	330.05979				22											
				dATP	489.9924505				29.8											
				dCDP	386.0148				23.6											
				dCMP	306.0485577				21.4											
				dCTP	465.9812				29											
				Deoxycytidine	226.0822324				4											
				Deoxyguanosine	266.0883739				6.77											
				Deoxyribose	133.0495288				13.5											
				Deoxyuridine	227.0662415				2.42											
				dGDP	426.02103				26											
				dGMP	346.0547107				23.3											
				dGTP	505.98737				27.3											
				DHAP	168.9896445				26.7											
				dI	251.0774813				8.4											
				Dihydroorotate	157.0243832				15.03											
				Dihydrouracil	113.034549				1.8											
				dUMP	307.03257				21.8											
				dUTP	466.9652389				29.4											
				Ethylmalonate	131.0338787				22											
				F1-6-BP	338.9876702				26.6											
				FAD	784.1487545				21.79											
				Fumarate	115.0025786				22.07											
				G6P_F6P	259.0213385				21											
				Galactitol	181.0706582				5											
				GAP	168.9896445				25											
				GDP	442.0159494				27											
				Glc-1-P	259.0207899				21											
				GLCN-6-p	258.0373293				21.92											
				GlcNAc-GalNAc	220.0815572				3.98											
				Gluconate	195.0499242				16.6											
				Glucose	179.0550145				5.82											
				Glucuronate	193.0342727				18.71											
				Glutamine	145.0607637				13.02											
				Glutamylcysteine	249.05397				20.8											
				Glutarate	131.0338787				21.6											
				Glycerate	105.0182287				15.89											
				Glycerol	91.0389656				2.5											
				Glycerol-3P	171.0052945				21											
				Glycine	74.0236549				12.52											
				GMP	362.049619				23.43											
				GSH	306.0754324				19.8											
				GSSG	611.1436				23.1											
				Guanosine	282.08329				10.03											
				Gulonate	195.0499242				17.54											
				Homocysteine	134.0270257				11.31											
				Hydroxypyruvate	103.00257				21											
				Hypoxanthine	135.0301323				9.74											
				IDP	427.0050503				27											
				IMP	347.0387199				24.1											
				Inosine	267.072391				11.43											
				Isoleucine	130.0862502				6.5											
				ITP	506.9713807				34											
				Lactate	89.02332				14.3											
				Leucine	130.0862552				6.1											
				Lysine	145.0971477				14.99											
				Malate	133.0131448				21											
				Maleate	115.0025786				21											
				Malonate	103.00257				21.5											
				Methionine	148.0421208				9.2											
				Methyl-glutamate	160.060429				17.98											
				NAD	662.1007428				17.8											
				NADH	664.1163978				21.6											
				NADP	742.0670731				24.53											
				NAAD	664.0925				21.11											
				N-formylmethionine	176.0375839				12.71											
				OAA	130.9975				21.75											
				Ophthalmate	288.1190054				19.3											
				Orotate	155.0087266				18											
				Pantothenate	218.1022927				14.96											
				PEP	166.9739944				25.54											
				Phenylalanine	164.0706001				9											
				Phosphoethanolamine	140.0107143				19											
				Phosphoserine	184.0005435				21.3											
				PRPP	388.9434409				29.56											
				Pterin	162.0410298				14.4											
				Purine	119.0352161				5.8											
				Pyridoxal	166.0498696				2.44											
				Pyridoxal phosphate	246.0161936				35.01											
				Pyridoxate	182.0447778				10.63											
				Pyroglutamate	128.0342131				14.7											
				R5P-Ru5P	229.0107738				21.5											
				Ribitol	151.0600999				4.06											
				Ribose	149.0444499				6											
				SAH	383.1132085				14.28											
				Succinate	117.0182302				21.66											
				Taurine	124.0062853				12.15											
				Threonine	118.0498632				12.73											
				Thymidine	241.081893				2.2											
				Thymine	125.034549				1.98											
				TTP_dTTP	480.98088				28.82											
				Tyrosine	180.0655197				12.32											
				UDP	402.9938169				25.6											
				UDP-Gal	565.0466404				21.4											
				UDP-GlcNAc_GNAc	606.0731895				21.4											
				UDP-glucose	565.046649				21.6											
				UDP-glucuronate	579.0259049				25											
				UMP	323.0274879				21.7											
				Uracil	111.0188989				2.46											
				Urate	167.01996				18.5											
				Ureidopropionate	131.0451121				16.42											
				Uridine	243.0611576				3.5											
				UTP	482.9601486				29											
				Xanthine	151.0255954				16.58											
				Xanthosine	283.0673105				18											
				XMP	363.033639				25											
				Folate	440.1313				26.6											
				DHF	442.1469528				23.79											
